algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"acs"	"2"	3.31	6.64	0.9	59	0.62	NA	NA	22	"1"
"ras"	"3"	3.85	4.3	0.92	66	NA	55	NA	46	"0"
"eas"	"3"	2.52	5.71	0.37	14	NA	NA	35	38	"1"
"ras"	"3"	4.09	0.08	0.68	44	NA	78	NA	18	"1"
"eas"	"2"	1.04	1.17	0.48	96	NA	NA	726	38	"1"
"acs"	"3"	4.03	1.07	0.98	52	0.47	NA	NA	39	"1"
"eas"	"3"	2.8	8.52	0.91	39	NA	NA	53	29	"1"
"acs"	"3"	4.54	3.65	0.72	68	0.65	NA	NA	36	"1"
"acs"	"3"	3.35	1.43	0.81	48	0.2	NA	NA	22	"0"
"acs"	"3"	3.52	4.48	0.84	52	0.41	NA	NA	12	"0"
"acs"	"3"	3.72	1.24	0.92	39	0.59	NA	NA	40	"1"
"acs"	"3"	3.27	5.3	0.22	46	0.55	NA	NA	26	"0"
"acs"	"3"	3.71	3.25	0.41	60	0.3	NA	NA	30	"1"
"acs"	"3"	3.23	3.48	0.92	65	0.55	NA	NA	10	"0"
"acs"	"3"	4.75	4.23	0.6	74	0.58	NA	NA	32	"1"
"acs"	"3"	3.22	7.12	0.83	49	0.47	NA	NA	20	"1"
"acs"	"3"	4.78	5.18	0.59	64	0.44	NA	NA	30	"1"
"acs"	"3"	3.01	8.39	0.87	52	0.25	NA	NA	24	"1"
"acs"	"3"	3.84	3.77	0.28	58	0.41	NA	NA	25	"1"
"acs"	"3"	4.26	2.9	0.46	68	0.58	NA	NA	21	"1"
"acs"	"3"	4.28	2.16	0.4	69	0.78	NA	NA	17	"1"
"acs"	"3"	4.05	3.19	0.24	61	0.47	NA	NA	22	"1"
"acs"	"3"	3.57	1.97	0.45	63	0.62	NA	NA	23	"1"
"acs"	"3"	4.04	3.59	0.18	59	0.5	NA	NA	19	"1"
"acs"	"3"	3.9	3.22	0.21	54	0.5	NA	NA	22	"1"
"acs"	"3"	4.11	3.35	0.2	56	0.41	NA	NA	17	"1"
"mmas"	"3"	1.41	5.31	0.87	26	NA	NA	NA	36	"0"
"ras"	"3"	4.85	7.18	0.56	68	NA	87	NA	10	"0"
"acs"	"2"	4.07	5.62	0.22	17	0.96	NA	NA	49	"0"
"acs"	"3"	4.11	8.91	0.19	57	0.18	NA	NA	8	"0"
"acs"	"3"	4.84	9.16	0.67	32	0.17	NA	NA	12	"1"
"acs"	"3"	3.26	9.6	0.76	39	0.95	NA	NA	14	"0"
"acs"	"3"	3.99	9.24	0.42	42	0.01	NA	NA	8	"0"
"acs"	"3"	4.79	8.53	0.16	52	0.44	NA	NA	5	"0"
"acs"	"3"	4.28	8.73	0.75	29	0.47	NA	NA	16	"1"
"acs"	"3"	2.78	5.9	0.09	30	0.23	NA	NA	10	"0"
"mmas"	"3"	4.28	6.49	0.29	53	NA	NA	NA	16	"1"
"acs"	"3"	4.54	9.59	0.66	5	0.23	NA	NA	11	"1"
"acs"	"3"	2.25	9.96	0.59	24	0.48	NA	NA	11	"1"
"acs"	"3"	2.39	8.79	0.72	30	0.02	NA	NA	9	"0"
"acs"	"3"	4.67	9.2	0.25	44	0.45	NA	NA	9	"0"
"acs"	"3"	1.85	9.79	0.43	36	0.32	NA	NA	11	"1"
"acs"	"3"	2.54	9.33	0.38	51	0.73	NA	NA	12	"1"
"acs"	"3"	2.66	8.21	0.42	10	0.44	NA	NA	14	"1"
"acs"	"3"	3.96	7.11	0.72	9	0.16	NA	NA	12	"1"
"acs"	"3"	2.14	9.28	0.26	28	0.47	NA	NA	15	"1"
"acs"	"3"	2.32	9.14	0.47	44	0.43	NA	NA	9	"1"
"acs"	"3"	2.38	9.58	0.46	27	0.4	NA	NA	11	"1"
"acs"	"3"	2.49	9.38	0.65	49	0.8	NA	NA	10	"1"
"acs"	"3"	2.63	9.47	0.15	29	0.6	NA	NA	15	"1"
"acs"	"3"	2.36	9.11	0.32	26	0.41	NA	NA	13	"1"
"acs"	"3"	2.66	8.76	0.29	37	0.55	NA	NA	14	"1"
"acs"	"3"	2.42	9.98	0.49	41	0.26	NA	NA	12	"1"
"ras"	"3"	2.69	2.81	0.48	31	NA	8	NA	21	"1"
"acs"	"3"	4.25	8.43	0.54	25	0.8	NA	NA	36	"1"
"acs"	"3"	3.04	5.27	0.08	16	0.35	NA	NA	10	"1"
"acs"	"3"	2.45	5.66	0.68	60	0.49	NA	NA	26	"0"
"acs"	"3"	2.89	5.07	0.37	22	0.51	NA	NA	33	"0"
"acs"	"3"	1.51	2.73	0.51	22	0.81	NA	NA	20	"1"
"acs"	"3"	1.95	2.84	0.43	48	0.84	NA	NA	22	"1"
"acs"	"3"	2.63	8.8	0.16	16	0.7	NA	NA	17	"1"
"acs"	"3"	2.58	6.34	0.48	53	0.84	NA	NA	27	"0"
"acs"	"3"	2.36	1.36	0.79	33	0.31	NA	NA	25	"1"
"acs"	"3"	2.51	4.81	0.31	54	0.64	NA	NA	22	"1"
"acs"	"3"	1.8	5.26	0.38	29	0.31	NA	NA	22	"1"
"acs"	"3"	2.91	2.16	0.21	53	0.74	NA	NA	20	"1"
"acs"	"3"	1.78	3.58	0.36	32	0.56	NA	NA	24	"1"
"acs"	"3"	2.51	1.14	0.15	39	0.6	NA	NA	16	"1"
"acs"	"3"	3.13	2.18	0.19	44	0.7	NA	NA	10	"1"
"acs"	"3"	2.32	3.89	0.3	28	0.78	NA	NA	26	"1"
"acs"	"3"	1.91	3.62	0.14	42	0.7	NA	NA	9	"1"
"acs"	"3"	2.93	4.45	0.35	50	0.48	NA	NA	20	"1"
"acs"	"3"	1.99	2.73	0.17	32	0.54	NA	NA	16	"1"
"acs"	"3"	2.55	6.08	0.34	46	0.75	NA	NA	18	"1"
"acs"	"3"	2.53	1.79	0.22	46	0.81	NA	NA	14	"1"
"acs"	"3"	2.04	3.65	0.14	42	0.63	NA	NA	9	"1"
"acs"	"3"	1.57	3.38	0.19	43	0.83	NA	NA	10	"1"
"acs"	"3"	2.46	4.97	0.35	53	0.42	NA	NA	21	"1"
"eas"	"3"	1.4	4	0.2	15	NA	NA	497	8	"1"
"ras"	"2"	2.18	3.69	0.6	60	NA	9	NA	42	"1"
"mmas"	"3"	2.1	8.85	0.89	92	NA	NA	NA	19	"1"
