algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"as"	"3"	4.3	6.74	0.84	59	NA	NA	NA	12	"1"
"acs"	"1"	2.9	5.61	0.88	55	0.64	NA	NA	20	"0"
"acs"	"3"	2.44	5.7	0.33	17	0.87	NA	NA	22	"1"
"acs"	"2"	2.03	4.11	0.78	51	0.78	NA	NA	20	"0"
"acs"	"3"	1.64	8.25	0.11	9	0.81	NA	NA	21	"1"
"acs"	"3"	2.19	7.08	0.24	8	0	NA	NA	14	"1"
"acs"	"3"	2.52	6.6	0.13	37	0.01	NA	NA	24	"1"
"acs"	"3"	3.4	6.84	0.49	13	0.54	NA	NA	16	"1"
"acs"	"3"	3.4	7.64	0.22	43	0.3	NA	NA	21	"1"
"acs"	"3"	2.45	6.09	0.17	26	0.42	NA	NA	15	"1"
"acs"	"3"	2.34	7.84	0.09	9	0.11	NA	NA	18	"1"
"acs"	"3"	3.01	7.26	0.19	43	0.41	NA	NA	21	"1"
"acs"	"3"	3.33	7.9	0.19	42	0.03	NA	NA	23	"1"
"acs"	"3"	2.39	6.3	0.17	27	0.09	NA	NA	13	"1"
"acs"	"3"	2.33	5.94	0.31	20	0.3	NA	NA	17	"1"
"acs"	"3"	2.96	7.39	0.15	44	0.34	NA	NA	16	"1"
"acs"	"3"	2.36	7.87	0.1	19	0.27	NA	NA	15	"1"
"acs"	"3"	2.35	5.92	0.12	34	0.26	NA	NA	19	"1"
"acs"	"3"	2.05	5.72	0.18	36	0.16	NA	NA	13	"1"
"acs"	"3"	2.99	7.86	0.14	42	0.33	NA	NA	18	"1"
"acs"	"3"	2.83	6.51	0.19	47	0.29	NA	NA	16	"1"
"acs"	"3"	2.59	6.79	0.27	47	0.47	NA	NA	22	"1"
"acs"	"2"	4.12	6.08	0.53	69	0.27	NA	NA	42	"0"
"acs"	"3"	3.34	2.02	0.81	36	0.8	NA	NA	49	"0"
"acs"	"2"	1.78	2.64	0.37	6	0.74	NA	NA	35	"1"
"ras"	"3"	4.9	6.39	0.25	18	NA	19	NA	6	"0"
"acs"	"3"	3.68	4.05	0.42	28	0.61	NA	NA	39	"0"
"acs"	"3"	3.7	2.77	0.68	43	0.84	NA	NA	37	"1"
"ras"	"3"	3.59	4.16	0.83	49	NA	22	NA	48	"0"
"acs"	"2"	4.33	1.62	0.33	60	0.34	NA	NA	47	"0"
"acs"	"3"	2.94	3.02	0.43	34	0.67	NA	NA	35	"1"
"acs"	"3"	1.83	5.21	0.51	33	0.65	NA	NA	37	"0"
"acs"	"3"	2.22	8.37	0.58	41	0.34	NA	NA	46	"0"
"acs"	"3"	4.67	4.55	0.79	77	0.68	NA	NA	48	"1"
"acs"	"3"	2.88	2.34	0.49	61	0.42	NA	NA	29	"1"
"acs"	"3"	2.15	9.28	0.88	43	0.7	NA	NA	30	"0"
"acs"	"3"	2.57	3.71	0.53	21	0.65	NA	NA	34	"1"
"acs"	"3"	2.28	2.23	0.74	31	0.81	NA	NA	31	"1"
"acs"	"3"	3.22	1.9	0.52	56	0.57	NA	NA	29	"1"
"acs"	"3"	2.88	2.07	0.62	58	0.51	NA	NA	31	"1"
"acs"	"3"	2.33	9.2	0.86	51	0.73	NA	NA	35	"1"
"acs"	"3"	2.77	7.15	0.73	57	0.65	NA	NA	25	"0"
"acs"	"3"	3.06	4.03	0.4	33	0.36	NA	NA	30	"1"
"acs"	"3"	3.5	2.15	0.57	62	0.63	NA	NA	23	"1"
"acs"	"3"	3.73	1.93	0.56	64	0.62	NA	NA	22	"1"
"acs"	"3"	3.46	2.1	0.52	62	0.63	NA	NA	18	"1"
"acs"	"3"	3.59	3.97	0.64	66	0.63	NA	NA	18	"1"
"acs"	"3"	3.16	1.95	0.53	66	0.77	NA	NA	21	"1"
"acs"	"3"	3.65	2.64	0.38	60	0.66	NA	NA	17	"1"
"acs"	"3"	4.26	1.9	0.56	66	0.56	NA	NA	23	"1"
"acs"	"3"	3.76	1.95	0.53	65	0.6	NA	NA	18	"1"
"acs"	"3"	3.07	5.19	0.46	78	0.65	NA	NA	10	"0"
"acs"	"2"	2.13	9.56	0.89	60	0.84	NA	NA	19	"1"
"mmas"	"2"	2.75	3.31	0.27	48	NA	NA	NA	13	"1"
"acs"	"1"	4.94	6.44	0.33	66	0.03	NA	NA	50	"1"
"mmas"	"2"	1.66	1.12	0.42	69	NA	NA	NA	34	"0"
"acs"	"3"	4.96	7.68	0.65	71	0.72	NA	NA	48	"0"
"mmas"	"2"	2.02	5	0.31	66	NA	NA	NA	22	"0"
"acs"	"3"	4.96	9.68	0.34	53	0.39	NA	NA	17	"0"
"acs"	"3"	4.05	7.16	0.96	77	0.89	NA	NA	44	"0"
"acs"	"3"	4.93	5.28	0.63	63	0.57	NA	NA	44	"0"
"acs"	"3"	2.43	3.8	0.51	38	0.54	NA	NA	47	"0"
"acs"	"3"	4.71	8	0.28	65	0.52	NA	NA	25	"1"
"acs"	"3"	4.85	9.76	0.33	60	0.6	NA	NA	27	"1"
"ras"	"3"	4.35	7.63	0.97	66	NA	14	NA	43	"0"
"acs"	"3"	4.65	9.73	0.52	60	0.65	NA	NA	21	"1"
"acs"	"3"	4.22	6.93	0.34	59	0.42	NA	NA	27	"1"
"acs"	"3"	4.64	6.52	0.36	56	0.36	NA	NA	21	"1"
"acs"	"3"	3.92	9.13	0.39	47	0.58	NA	NA	13	"1"
"acs"	"3"	4.73	8.25	0.33	58	0.79	NA	NA	31	"1"
"acs"	"3"	3.66	9.07	0.36	57	0.57	NA	NA	15	"1"
"acs"	"3"	3.63	7.89	0.6	66	0.85	NA	NA	20	"1"
"acs"	"3"	4.77	9.31	0.6	62	0.77	NA	NA	22	"1"
"acs"	"3"	3.78	5.49	0.38	58	0.37	NA	NA	22	"1"
"acs"	"3"	3.65	9.51	0.35	53	0.61	NA	NA	19	"1"
"acs"	"3"	3.86	5.49	0.39	60	0.47	NA	NA	20	"1"
"acs"	"3"	4.86	9.21	0.6	65	0.72	NA	NA	20	"1"
"acs"	"3"	3.63	8.99	0.34	56	0.48	NA	NA	16	"1"
"acs"	"3"	3.79	6.23	0.42	62	0.4	NA	NA	20	"1"
"acs"	"3"	3.64	9.01	0.28	55	0.63	NA	NA	16	"1"
"acs"	"3"	3.54	4.68	0.38	60	0.42	NA	NA	18	"1"
"acs"	"3"	4.12	5.71	0.3	60	0.43	NA	NA	20	"1"
"mmas"	"3"	2.65	8.82	0.5	97	NA	NA	NA	25	"0"
"acs"	"2"	2.97	1.95	0.31	31	0.43	NA	NA	16	"1"
"ras"	"3"	2.26	1.79	0.61	87	NA	46	NA	39	"1"
"as"	"3"	4.22	4.45	0.56	55	NA	NA	NA	28	"0"
"acs"	"3"	1.89	6.23	0.72	63	0.92	NA	NA	12	"0"
"mmas"	"3"	2.8	5.71	0.52	92	NA	NA	NA	20	"0"
"as"	"3"	3.28	2.98	0.3	14	NA	NA	NA	26	"1"
"acs"	"3"	2.55	5.06	0.74	30	0.76	NA	NA	33	"1"
"acs"	"3"	2.87	3.48	0.47	70	0.96	NA	NA	25	"0"
"mmas"	"3"	3.45	7.28	0.35	90	NA	NA	NA	14	"0"
"acs"	"3"	2.31	3.58	0.75	52	0.88	NA	NA	6	"0"
"acs"	"3"	2.3	4.25	0.67	21	0.88	NA	NA	12	"0"
"acs"	"3"	2.26	3.36	0.87	61	0.76	NA	NA	10	"0"
"acs"	"3"	2.29	2.58	0.57	35	0.73	NA	NA	8	"0"
"acs"	"3"	2.63	5.38	0.91	53	0.79	NA	NA	31	"1"
"acs"	"3"	3.72	4.42	0.63	72	0.83	NA	NA	10	"0"
"acs"	"3"	2.16	3.22	0.83	61	0.85	NA	NA	13	"0"
"acs"	"3"	2.39	2.02	0.51	40	0.61	NA	NA	12	"0"
"acs"	"3"	2.21	3.09	0.83	63	0.88	NA	NA	8	"0"
"acs"	"3"	2.97	2.7	0.9	65	0.78	NA	NA	12	"0"
"acs"	"3"	2.38	3.03	0.81	63	0.76	NA	NA	9	"0"
"acs"	"3"	2.08	3.93	0.83	58	0.66	NA	NA	9	"0"
"acs"	"3"	2.32	5.13	0.93	59	0.65	NA	NA	9	"0"
"acs"	"3"	2.17	3.54	0.91	58	0.69	NA	NA	7	"0"
"acs"	"3"	2.31	3.49	0.79	64	0.77	NA	NA	9	"0"
"acs"	"3"	2.01	2.95	0.77	57	0.76	NA	NA	6	"0"
"ras"	"3"	3.07	5.89	0.52	69	NA	7	NA	25	"0"
"acs"	"2"	2.37	5.42	0.35	23	0	NA	NA	30	"0"
"acs"	"2"	3.54	6.82	0.24	18	0.27	NA	NA	35	"0"
"acs"	"3"	1.93	6.61	0.55	11	0.7	NA	NA	22	"0"
"acs"	"2"	1.52	5.84	0.44	19	0.59	NA	NA	28	"0"
"acs"	"2"	2.31	5.02	0.34	6	0.13	NA	NA	21	"0"
"ras"	"3"	3.68	4.71	0.55	56	NA	20	NA	31	"1"
"ras"	"3"	3.73	5.36	0.8	56	NA	28	NA	26	"0"
"acs"	"3"	2.71	4.05	0.66	40	0.74	NA	NA	19	"0"
"acs"	"3"	2.38	1.68	0.34	29	0.36	NA	NA	21	"0"
"acs"	"3"	1.68	7.24	0.79	17	0.94	NA	NA	18	"0"
"acs"	"3"	2.4	0.65	0.46	29	0.35	NA	NA	7	"0"
"acs"	"3"	3.65	6.95	0.78	23	0.6	NA	NA	14	"0"
"acs"	"3"	3.21	0.97	0.35	10	0.44	NA	NA	8	"0"
"acs"	"3"	2.45	0.63	0.54	38	0.29	NA	NA	11	"0"
"acs"	"3"	3.22	4.51	0.58	38	0.43	NA	NA	11	"0"
"acs"	"3"	2.83	0.27	0.55	20	0.63	NA	NA	7	"0"
"acs"	"3"	3.07	3.31	0.46	48	0.4	NA	NA	13	"0"
"acs"	"3"	2.78	3.58	0.53	47	0.5	NA	NA	11	"0"
"acs"	"3"	4.09	1.56	0.35	12	0.36	NA	NA	9	"0"
"acs"	"3"	2.72	0.51	0.6	39	0.16	NA	NA	10	"0"
"acs"	"3"	2.51	3.07	0.52	48	0.42	NA	NA	7	"0"
"acs"	"3"	2.52	0.97	0.55	42	0.19	NA	NA	9	"0"
"acs"	"3"	2.53	4.23	0.62	41	0.41	NA	NA	11	"0"
"acs"	"3"	2.72	3.93	0.52	37	0.5	NA	NA	9	"0"
"acs"	"3"	4.85	3.96	1	6	0.58	NA	NA	36	"1"
"acs"	"2"	3.84	1.93	0.02	29	0.66	NA	NA	40	"0"
"as"	"3"	3.76	5.52	0.47	27	NA	NA	NA	20	"0"
"acs"	"3"	2.96	2.13	0.99	32	0.74	NA	NA	12	"1"
"acs"	"2"	2.01	4.56	0.22	40	0.74	NA	NA	49	"0"
"acs"	"3"	3.57	1.8	0.82	6	0.32	NA	NA	14	"1"
"acs"	"3"	3.11	2.34	0.83	8	0.48	NA	NA	12	"1"
"acs"	"3"	2.7	5.94	1	35	0.51	NA	NA	18	"1"
"acs"	"3"	2.82	4.65	0.78	30	0.41	NA	NA	15	"1"
"acs"	"3"	2.46	1.43	0.77	11	0.13	NA	NA	13	"1"
"acs"	"3"	2.53	8.37	0.68	45	0.59	NA	NA	20	"1"
"acs"	"3"	3.08	1.06	0.7	10	0.68	NA	NA	18	"1"
"acs"	"3"	2.95	0.63	0.9	27	0.45	NA	NA	17	"1"
"acs"	"3"	2.33	1.57	0.77	13	0.09	NA	NA	13	"1"
"acs"	"3"	2.56	7.55	0.79	60	0.56	NA	NA	19	"1"
"acs"	"3"	2.13	9.02	0.69	38	0.63	NA	NA	22	"1"
"acs"	"3"	1.67	1.67	0.88	24	0.18	NA	NA	10	"1"
"acs"	"3"	2.79	8.83	0.69	56	0.46	NA	NA	14	"1"
"acs"	"3"	2.8	8.18	0.81	56	0.53	NA	NA	19	"1"
"acs"	"3"	2.71	9.07	0.54	49	0.53	NA	NA	20	"1"
"acs"	"3"	2.52	6.86	0.74	59	0.69	NA	NA	21	"1"
"mmas"	"3"	1.15	8.16	0.97	60	NA	NA	NA	16	"1"
"acs"	"2"	2.4	5.66	0.23	36	0.4	NA	NA	28	"0"
"acs"	"3"	2.71	8.78	0.66	6	0.09	NA	NA	42	"1"
"acs"	"3"	1.85	6.6	0.25	39	0.41	NA	NA	10	"1"
"mmas"	"3"	1.88	9.42	0.76	75	NA	NA	NA	20	"0"
"acs"	"3"	3.95	7.78	0.55	71	0.5	NA	NA	8	"1"
"acs"	"3"	3.09	7.25	0.45	66	0.94	NA	NA	18	"1"
"acs"	"3"	1.48	3.64	0.46	34	0.51	NA	NA	15	"1"
"acs"	"3"	2.29	8.06	0.21	36	0.83	NA	NA	10	"1"
"acs"	"3"	4.16	6.56	0.59	71	0.53	NA	NA	10	"1"
"acs"	"3"	4.28	8.59	0.51	61	0.46	NA	NA	14	"1"
"acs"	"3"	2.76	8.14	0.24	45	0.88	NA	NA	14	"1"
"acs"	"3"	1.83	7.98	0.32	30	0.84	NA	NA	19	"1"
"acs"	"3"	1.65	4.26	0.5	35	0.4	NA	NA	8	"1"
"acs"	"3"	4.65	5.79	0.63	76	0.57	NA	NA	10	"1"
"acs"	"3"	3.78	6.88	0.47	68	0.66	NA	NA	10	"1"
"acs"	"3"	4.26	6.16	0.49	66	0.66	NA	NA	14	"1"
"acs"	"3"	4.26	6.64	0.53	70	0.79	NA	NA	9	"1"
"mmas"	"3"	0.92	3.77	0.89	61	NA	NA	NA	48	"0"
"acs"	"3"	1.62	4.56	0.88	11	0.44	NA	NA	16	"0"
"eas"	"3"	3.49	8.31	0.5	95	NA	NA	199	10	"0"
"acs"	"3"	2.98	2.44	0.45	53	0.64	NA	NA	11	"0"
"acs"	"3"	2.14	4.1	0.62	20	0.44	NA	NA	24	"1"
"acs"	"3"	1.73	3.53	0.75	34	0.2	NA	NA	28	"1"
"acs"	"3"	2.94	7.01	0.71	49	0.37	NA	NA	22	"1"
"acs"	"3"	2.31	2.93	0.64	43	0.47	NA	NA	8	"1"
"acs"	"3"	2.02	9.12	0.69	40	0.31	NA	NA	20	"1"
"acs"	"3"	3	4.78	0.94	63	0.5	NA	NA	12	"1"
"acs"	"3"	2.82	7.5	0.69	57	0.37	NA	NA	23	"1"
"acs"	"3"	2.99	4.04	0.38	54	0.79	NA	NA	7	"0"
"acs"	"3"	2.21	7.69	0.97	56	0.58	NA	NA	13	"1"
"acs"	"3"	3.21	6.31	0.9	67	0.55	NA	NA	9	"1"
"acs"	"3"	3.53	4.27	0.93	73	0.6	NA	NA	16	"1"
"acs"	"3"	1.97	7.52	0.66	42	0.21	NA	NA	20	"1"
"acs"	"3"	2.54	5.07	0.78	57	0.39	NA	NA	10	"1"
"acs"	"3"	3.22	4.5	0.96	69	0.58	NA	NA	14	"1"
"acs"	"3"	3.02	7.13	0.9	63	0.42	NA	NA	13	"1"
"acs"	"3"	3.37	3.81	0.98	76	0.67	NA	NA	17	"1"
"acs"	"3"	3.14	4.73	0.94	71	0.56	NA	NA	16	"1"
"acs"	"3"	3.06	5.03	0.96	69	0.63	NA	NA	13	"1"
"ras"	"3"	3.09	3.97	0.61	84	NA	8	NA	36	"1"
"acs"	"3"	4.03	9.59	0.42	66	0.83	NA	NA	21	"1"
"acs"	"3"	2.7	0.37	0.87	14	0.44	NA	NA	5	"0"
"eas"	"3"	1.61	2.56	0.96	77	NA	NA	128	29	"1"
"acs"	"3"	4.19	9.76	0.11	16	0.41	NA	NA	13	"1"
"ras"	"3"	3.41	5.15	0.63	92	NA	9	NA	38	"1"
"acs"	"3"	3.65	1.09	0.62	45	0.93	NA	NA	11	"1"
"acs"	"3"	3.54	8.9	0.28	33	0.1	NA	NA	24	"1"
"acs"	"3"	2.63	8.98	0.22	13	0.15	NA	NA	17	"1"
"acs"	"3"	4.19	9.93	0.33	13	0.36	NA	NA	14	"1"
"acs"	"3"	4.69	9.3	0.36	63	0.49	NA	NA	21	"1"
"acs"	"3"	2.07	5.83	0.08	25	0.4	NA	NA	17	"1"
"acs"	"3"	3.44	6.71	0.45	55	0.06	NA	NA	20	"1"
"acs"	"3"	3.24	8.83	0.29	41	0.22	NA	NA	32	"1"
"acs"	"3"	2.83	8.67	0.42	40	0.23	NA	NA	22	"1"
"acs"	"3"	2.11	7.42	0.22	28	0.21	NA	NA	9	"1"
"acs"	"3"	2.91	5.24	0.05	33	0.63	NA	NA	17	"1"
"acs"	"3"	2.33	8.69	0.58	42	0.29	NA	NA	20	"1"
"acs"	"3"	2.88	6.29	0.03	19	0.54	NA	NA	19	"1"
"acs"	"3"	2.69	4.49	0.07	22	0.48	NA	NA	15	"1"
"acs"	"3"	2.91	5.35	0.03	27	0.6	NA	NA	18	"1"
"acs"	"3"	3.22	6.4	0.1	42	0.54	NA	NA	18	"1"
"acs"	"3"	2.34	8.11	0.44	40	0.13	NA	NA	20	"1"
"acs"	"3"	3.23	5.02	0.08	42	0.74	NA	NA	19	"1"
"acs"	"3"	3.21	5.58	0.06	35	0.52	NA	NA	10	"1"
"acs"	"3"	3.24	6.87	0.1	42	0.55	NA	NA	19	"1"
"acs"	"3"	3.21	4.91	0.1	49	0.68	NA	NA	20	"1"
"acs"	"3"	3.52	5.35	0.09	44	0.71	NA	NA	22	"1"
"mmas"	"3"	0.83	5.47	1	6	NA	NA	NA	18	"0"
"eas"	"3"	3.18	3.28	0.16	69	NA	NA	713	14	"1"
"eas"	"3"	1.01	2.27	0.39	56	NA	NA	739	13	"1"
"acs"	"3"	1.46	5.87	0.62	13	0.8	NA	NA	11	"0"
"acs"	"3"	1.64	7.03	0.8	33	0.69	NA	NA	39	"1"
"acs"	"3"	2.73	8.39	0.58	36	0.65	NA	NA	14	"0"
"ras"	"3"	2.34	0.59	0.47	66	NA	22	NA	15	"1"
"acs"	"3"	3.43	5.84	0.44	46	0.52	NA	NA	6	"0"
"acs"	"3"	1.89	8.96	0.55	27	0.59	NA	NA	10	"0"
"acs"	"3"	3.67	5.97	0.4	56	0.57	NA	NA	9	"0"
"ras"	"3"	2.34	1.82	0.39	75	NA	18	NA	16	"1"
"acs"	"3"	2.9	5.99	0.47	55	0.49	NA	NA	6	"0"
"acs"	"3"	2.98	4.92	0.41	40	0.7	NA	NA	10	"0"
"acs"	"3"	3.32	6.31	0.5	56	0.71	NA	NA	9	"0"
"acs"	"3"	2.96	5.12	0.65	62	0.58	NA	NA	7	"0"
"acs"	"3"	3.63	7.19	0.21	54	0.42	NA	NA	9	"0"
"acs"	"3"	3.24	5.23	0.46	63	0.51	NA	NA	7	"0"
"acs"	"3"	3.18	7.2	0.46	59	0.74	NA	NA	8	"0"
"acs"	"3"	3.58	5.29	0.38	53	0.29	NA	NA	9	"0"
"acs"	"3"	3.31	3.06	0.35	39	0.54	NA	NA	24	"1"
"ras"	"3"	4.87	8.68	0.66	21	NA	10	NA	33	"1"
"mmas"	"2"	0.97	2.74	0.75	30	NA	NA	NA	11	"1"
"mmas"	"3"	1.44	9.31	0.97	75	NA	NA	NA	7	"1"
"acs"	"3"	4.3	7.46	0.9	7	0.17	NA	NA	20	"1"
"acs"	"3"	2.27	6.59	0.49	22	0.17	NA	NA	21	"0"
"acs"	"3"	3.15	4.41	0.64	50	0.47	NA	NA	34	"1"
"acs"	"3"	3.71	7.32	0.82	6	0.09	NA	NA	17	"1"
"acs"	"3"	2.3	1.02	0.15	24	0.59	NA	NA	14	"1"
"acs"	"3"	3.28	3.71	0.76	16	0.6	NA	NA	24	"1"
"acs"	"3"	1.64	3.31	0.08	26	0.38	NA	NA	17	"1"
"acs"	"3"	2.34	7.15	0.9	19	0.07	NA	NA	21	"1"
"acs"	"3"	1.9	4.15	0.16	34	0.4	NA	NA	19	"1"
"acs"	"3"	1.95	5.33	0.31	32	0.38	NA	NA	28	"1"
"acs"	"3"	1.85	4.19	0.37	38	0.23	NA	NA	20	"1"
"acs"	"3"	2.22	0.94	0.21	32	0.57	NA	NA	19	"1"
"acs"	"3"	2.44	4.74	0.08	31	0.7	NA	NA	28	"1"
"acs"	"3"	2.09	4.75	0.09	30	0.33	NA	NA	14	"1"
"acs"	"3"	2.17	3.65	0.49	46	0.31	NA	NA	20	"1"
"acs"	"3"	2.45	6.22	0.32	41	0.16	NA	NA	16	"1"
"acs"	"3"	1.73	4.82	0.46	37	0.34	NA	NA	16	"1"
"acs"	"3"	2.1	3.74	0.19	39	0.36	NA	NA	14	"1"
"acs"	"3"	1.93	5.14	0.12	31	0.18	NA	NA	13	"1"
"acs"	"2"	4.16	7.87	0.16	52	0.42	NA	NA	37	"0"
"ras"	"3"	2.29	1.62	0.29	40	NA	67	NA	8	"1"
"eas"	"3"	1.51	7.56	0.81	43	NA	NA	659	50	"0"
"acs"	"3"	3.38	3.81	0.44	55	0.89	NA	NA	33	"0"
"acs"	"3"	1.56	4.36	0.51	23	0.41	NA	NA	26	"1"
"ras"	"3"	1.9	3.45	0.2	10	NA	7	NA	9	"1"
"acs"	"3"	3.74	5.26	0.86	61	0.58	NA	NA	21	"0"
"acs"	"3"	2.21	8.58	0.93	47	0.58	NA	NA	7	"0"
"acs"	"3"	1.25	5.14	0.73	34	0.39	NA	NA	16	"1"
"acs"	"3"	2.12	5.49	0.49	13	0.29	NA	NA	23	"1"
"acs"	"3"	1.49	4.27	0.68	36	0.45	NA	NA	25	"1"
"acs"	"3"	1.69	4.62	0.73	29	0.33	NA	NA	16	"1"
"acs"	"3"	2.04	5.71	0.46	33	0.35	NA	NA	21	"1"
