particles	topology	modInfluence	branching	tSchedule	phi1	phi2	inertia
7	"4"	"1"	NA	NA	1.85	2.35	0.11
87	"4"	"2"	NA	NA	1.99	0.59	0.87
73	"1"	"2"	NA	NA	0.3	2.49	0.49
8	"0"	"1"	NA	NA	1.87	2.04	0.18
13	"4"	"1"	NA	NA	1.1	2.13	0.05
34	"4"	"1"	NA	NA	2.06	1.96	0.25
36	"4"	"1"	NA	NA	2.1	1.74	0.25
38	"4"	"1"	NA	NA	2.49	1.81	0.32
53	"4"	"1"	NA	NA	2.42	2.05	0.2
95	"1"	"2"	NA	NA	0	2.43	0.48
51	"1"	"2"	NA	NA	0.36	2.14	0.5
86	"1"	"2"	NA	NA	0.11	2.4	0.46
58	"4"	"0"	NA	NA	1.8	1.4	0.27
68	"1"	"2"	NA	NA	0.38	2.48	0.53
67	"1"	"2"	NA	NA	0.56	2.43	0.5
68	"4"	"0"	NA	NA	1.88	1.51	0.32
46	"1"	"2"	NA	NA	0.21	2.05	0.48
65	"1"	"2"	NA	NA	0.43	2.46	0.48
73	"0"	"0"	NA	NA	2.21	0.31	0.86
76	"5"	"0"	NA	7	1.93	1.36	0.74
150	"0"	"0"	NA	NA	1	1.05	0.63
82	"0"	"0"	NA	NA	0.92	1.6	0.6
45	"1"	"1"	NA	NA	0.45	1.75	0.65
48	"1"	"0"	NA	NA	1.8	2.38	0.73
84	"5"	"0"	NA	10	1.79	1.55	0.13
157	"4"	"0"	NA	NA	2.48	2.07	0.87
200	"0"	"0"	NA	NA	2.08	2.15	0.86
142	"4"	"2"	NA	NA	2.46	1.96	0.84
58	"4"	"2"	NA	NA	0.97	2.44	0.7
61	"1"	"0"	NA	NA	1.87	2.27	0.71
152	"4"	"0"	NA	NA	2.28	2.01	0.79
58	"1"	"0"	NA	NA	1.35	1.87	0.82
79	"1"	"0"	NA	NA	0.92	1.95	0.73
62	"1"	"0"	NA	NA	1.72	2.22	0.69
43	"1"	"0"	NA	NA	1.92	2.44	0.8
56	"1"	"0"	NA	NA	2.14	2.31	0.61
62	"1"	"0"	NA	NA	2.18	2.44	0.65
26	"1"	"0"	NA	NA	1.56	2.4	0.57
55	"1"	"0"	NA	NA	1.83	2.25	0.69
60	"4"	"0"	NA	NA	0.25	2.04	0.64
172	"5"	"0"	NA	10	1.65	1.26	0.36
23	"4"	"1"	NA	NA	1.03	1.88	0.58
178	"0"	"0"	NA	NA	0.48	1.65	0.11
147	"4"	"2"	NA	NA	1.34	2.2	0.47
185	"4"	"2"	NA	NA	1.53	2.09	0.67
176	"0"	"0"	NA	NA	0.06	2.01	0.42
96	"4"	"0"	NA	NA	1.31	2.05	0.16
141	"4"	"2"	NA	NA	0.17	2	0.47
36	"4"	"1"	NA	NA	2.05	2.11	0.61
13	"4"	"1"	NA	NA	1.35	1.91	0.65
156	"5"	"0"	NA	9	0.61	1.27	0.57
32	"4"	"0"	NA	NA	1.94	2.28	0.44
134	"4"	"2"	NA	NA	1.77	2.1	0.88
134	"4"	"0"	NA	NA	0.57	2.09	0.42
101	"4"	"2"	NA	NA	0.2	2.02	0.7
69	"4"	"2"	NA	NA	0.21	2.15	0.81
35	"4"	"0"	NA	NA	1.82	2.38	0.35
32	"4"	"0"	NA	NA	1.98	2.23	0.33
145	"4"	"2"	NA	NA	1.69	2.32	0.85
38	"4"	"0"	NA	NA	1.9	2.3	0.3
70	"4"	"2"	NA	NA	0.08	2.09	0.73
19	"4"	"2"	NA	NA	1.39	1.34	0.6
56	"4"	"1"	NA	NA	2.48	1.49	0.66
25	"1"	"0"	NA	NA	0.69	2.04	0.13
112	"2"	"0"	NA	NA	2.4	1.26	0.86
87	"5"	"0"	NA	8	0.84	0.95	0.52
56	"0"	"0"	NA	NA	0.84	1.66	0.14
70	"0"	"0"	NA	NA	1.89	2.13	0.64
46	"1"	"0"	NA	NA	1.11	1.44	0.61
54	"0"	"1"	NA	NA	1.79	2.26	0.24
24	"0"	"0"	NA	NA	1.97	2.29	0.74
9	"4"	"1"	NA	NA	2.08	1.13	0.6
98	"0"	"0"	NA	NA	1.95	2	0.67
51	"0"	"0"	NA	NA	2.13	2.08	0.63
82	"0"	"0"	NA	NA	1.42	2.26	0.6
48	"0"	"0"	NA	NA	0.91	1.48	0.12
63	"0"	"0"	NA	NA	0.72	1.46	0.09
171	"4"	"0"	NA	NA	2.44	2.14	0.52
134	"0"	"0"	NA	NA	2.28	1.05	0.13
178	"1"	"0"	NA	NA	0.95	2.37	0.83
91	"1"	"0"	NA	NA	2.05	1.59	0.21
69	"2"	"0"	NA	NA	1.46	1.48	0.67
114	"4"	"0"	NA	NA	2.43	2.09	0.74
48	"4"	"0"	NA	NA	0.74	1.94	0.89
111	"4"	"0"	NA	NA	1.89	2.43	0.47
153	"0"	"0"	NA	NA	2.32	2.22	0.84
19	"4"	"0"	NA	NA	1.12	2.48	0.77
49	"4"	"0"	NA	NA	0.17	2.1	0.5
35	"4"	"0"	NA	NA	1.48	2.32	0.75
119	"4"	"0"	NA	NA	2.24	2.15	0.65
151	"4"	"0"	NA	NA	1.88	2.41	0.52
97	"4"	"0"	NA	NA	2.44	1.98	0.45
119	"4"	"0"	NA	NA	2.06	2.47	0.33
117	"4"	"0"	NA	NA	1.6	2.45	0.51
103	"4"	"0"	NA	NA	2.36	2.09	0.48
117	"4"	"0"	NA	NA	1.52	2.26	0.52
79	"4"	"0"	NA	NA	2.39	1.96	0.44
91	"4"	"0"	NA	NA	2.43	2.31	0.5
125	"4"	"0"	NA	NA	1.7	2.46	0.57
133	"4"	"0"	NA	NA	2.07	2.37	0.28
83	"1"	"0"	NA	NA	0.18	2.47	0.36
115	"5"	"0"	NA	5	0.73	1.46	0.78
27	"0"	"0"	NA	NA	1.51	0.99	0.61
15	"2"	"2"	NA	NA	1.98	0.21	0.33
9	"1"	"2"	NA	NA	0.5	1.54	0.47
124	"1"	"0"	NA	NA	0.36	2.49	0.29
83	"4"	"2"	NA	NA	0.88	2.44	0.53
48	"0"	"0"	NA	NA	0.74	1.12	0.65
67	"1"	"0"	NA	NA	0.65	2.49	0.43
114	"0"	"0"	NA	NA	1.87	2.43	0.57
64	"4"	"2"	NA	NA	1.36	2.24	0.61
86	"4"	"2"	NA	NA	1.22	2.36	0.67
66	"4"	"0"	NA	NA	0.82	2.41	0.45
72	"4"	"2"	NA	NA	1.39	2.44	0.56
66	"4"	"0"	NA	NA	0.94	2.31	0.35
73	"4"	"2"	NA	NA	1.25	2.45	0.55
55	"4"	"0"	NA	NA	1.36	2.21	0.48
68	"4"	"0"	NA	NA	0.99	2.49	0.28
76	"4"	"0"	NA	NA	0.97	2.37	0.32
58	"4"	"0"	NA	NA	0.91	2.38	0.43
64	"4"	"0"	NA	NA	1.18	2.34	0.36
36	"1"	"2"	NA	NA	1.88	2.38	0.56
29	"4"	"0"	NA	NA	0.08	1.68	0.14
110	"0"	"0"	NA	NA	0.32	2.07	0.45
51	"0"	"0"	NA	NA	2.08	1.79	0.75
11	"3"	"1"	NA	NA	1.57	0.82	0
53	"4"	"0"	NA	NA	1.37	1.04	0.22
29	"1"	"2"	NA	NA	1.98	1.59	0.32
135	"4"	"0"	NA	NA	1.02	2.29	0.75
53	"1"	"2"	NA	NA	1.19	2.06	0.5
32	"4"	"2"	NA	NA	1.46	2.12	0.43
43	"1"	"0"	NA	NA	1.35	1.62	0.36
78	"4"	"0"	NA	NA	0.84	1.44	0.32
